,names,city,address,phone,web,description,category
0,Fight Club,Guatemala - Guatemala,24 ave 47-64 zona 12 Prados de Monte Maria,tel:(5025) 4522-0530,https://directorio.guatemala.com/listing_reports.php?report=website&id=259,"La cualidad dual de Fight Club Guatemala le define como un ejército y una familia donde cada miembro es valioso y estimado; desde el más pequeño, hasta el más grande. El sentido de pertenencia y la solidaridad que se vive en Fight Club es singular.

Fight Club Guatemala es una organización de Artes Marciales Mixtas establecida en diciembre de 1,999, como una sucursal de Grizzly Gym International.","Artes Marciales
                                    

                                                                                                                                 y
                                                                                                                            Boxeo"
1,CrossFit 502 Carr. a El Salvador,Guatemala - Guatemala,Km. 14.5 Carretera a El Salvador,tel:+(502) 6637-3778,https://directorio.guatemala.com/listing_reports.php?report=website&id=3448,"En CrossFit 502 nos enfocamos en que nuestros miembros alcancen un nivel más alto de acondicionamiento físico y desempeño general, con un programa de entrenamiento diferente, divertido y que genera resultados.

Nuestra filosofía se basa en entrenamientos personalizados en un ambiente grupal, con entrenadores certificados que guiarán cada una de las sesiones. Los resultados de nuestros miembros, son el reflejo del esfuerzo y sacrificio que entregan en cada entreno.",Crossfit
2,Neurogym Antigua,Guatemala - Guatemala,5a. Avenida Norte #17,tel:(502) 7831-5210 | 5892-2527,https://directorio.guatemala.com/listing_reports.php?report=website&id=1821,"Neurogym Antigua ofrece un programa de estimulación temprana, enfocado en cuatro áreas de desarrollo: neurofísca, neurocognitiva, neurolingüística, y socio-emocional.",Pesas
3,Dinamic Fitness Zona Portales,Guatemala - Guatemala,3a Avenida 10-10 Zona 17 ,tel:+(502) 2217-1111,https://directorio.guatemala.com/listing_reports.php?report=website&id=52344,"Dinamic es un concepto nuevo de fitness, un lugar donde nos encanta subirte el ánimo. No te juzgamos, no importa si eres experto o tu primera vez en un gimnasio, te hacemos sentir bien en un ambiente motivador y accesible.",Pesas
5,Futeca Sport Gym Pradera Concepción,Guatemala - Guatemala,"Km 15.5 Carretera a El Salvador, ",tel:+(502) 2366-8052,https://directorio.guatemala.com/listing_reports.php?report=website&id=52160,Futeca Sport Gym Pradera Concepción cuenta con los mejores programas para que cumplas tus objetivos de manera efectiva y segura. Formamos parte de una cadena deportiva que incluye gimnasios y canchas deportivas. Visita tu sede Futeca más cercana.,Pesas
6,Vertical Shapes,Guatemala - Guatemala,"2da. Calle 23-51 Zona 15, Vista Hermosa I",tel:+(502) 2369-8775,https://directorio.guatemala.com/listing_reports.php?report=website&id=427,"Vertical Shapes es una academia especializada en Pole Fitness y acrobacias aéreas, dirigido al 100% para mujeres que desean ejercitar y tonificar su cuerpo, siempre de una forma entretenida y logrando un aumento en la autoestima de cada una.

El Pole Dance está dirigido a mujeres que desean ejercitar y tonificar su cuerpo de una forma entretenida y logrando aumento en la autoestima.",Pole Dance
7,Scandinavia Gym Galerías Primma,Guatemala - Guatemala,Calzada Roosevelt 14-82 Zona 7,tel:+(502) 2474-2815,https://directorio.guatemala.com/listing_reports.php?report=website&id=2029,"Scandinavia Gym inicó en 1992 atentiendo a la necesidad de los guatemaltecos de un servicio de salud que formara mentes y cuerpos saludables a través de ejercicio constante y practicado de una manera correcta.

Hoy en día la cadena cuenta con 12 gimnasios incluyendo ubicaciones en las arterias principales de la ciudad de Guatemala y sus suburbios, y cuatro localidades en las ciudades principales del interior del país.

La misión de Scandinavia es lograr las metas de todos sus clientes brindando la mejor ubicación, tecnología de punta y asesoría.","TRX
                                    

                                                                                                                                ,
                                                                                                                            Zumba
                                    

                                                                                                                                ,
                                                                                                                            Pesas
                                    

                                                                                                                                 y
                                                                                                                            Pilates"
9,World Gym Roosevelt,Guatemala - Guatemala,Calz. Roosevelt 21-01 Zona 7,tel:+(502) 2243-0000,https://directorio.guatemala.com/listing_reports.php?report=website&id=1864,"Ubicado en el Centro Comercial Gran Vía, World Gym Roosevelt cuenta con una piscina semi-olímpica bajo techo y climatizada con programas de natación para niños y adultos, área de pesas y equipo selectorizado, equipo cardiovascular que incluye bandas, elípticas y escaladoras.

También posee un área para clases de entrenamiento metabólico (FIT), un salón de cycling, dos salones de clases de grupo, clínica de nutrición y de orientación, instructores capacitados y certificados en cada una de las diferentes disciplinas del fitness, una cafetería y área de estar para que disfrutes de un nuevo estilo de vida saludable.",Pesas
10,Scandinavia Gym Metronorte,Guatemala - Guatemala,"Calz. Marsical Zavala, 11 Avenida 00-92 Zona 17",tel:+(502) 2269-5605,https://directorio.guatemala.com/listing_reports.php?report=website&id=2037,"Scandinavia Gym inicó en 1992 atentiendo a la necesidad de los guatemaltecos de un servicio de salud que formara mentes y cuerpos saludables a través de ejercicio constante y practicado de una manera correcta.

Hoy en día la cadena cuenta con 12 gimnasios incluyendo ubicaciones en las arterias principales de la ciudad de Guatemala y sus suburbios, y cuatro localidades en las ciudades principales del interior del país.

La misión de Scandinavia es lograr las metas de todos sus clientes brindando la mejor ubicación, tecnología de punta y asesoría.","Pesas
                                    

                                                                                                                                ,
                                                                                                                            Pilates
                                    

                                                                                                                                ,
                                                                                                                            TRX
                                    

                                                                                                                                 y
                                                                                                                            Zumba"
11,Gimnasio Curves Antigua,Guatemala - Guatemala,"Salida a Ciudad Vieja No. 25, Hotel Real Plaza",tel:+(502) 7832-0770,https://directorio.guatemala.com/listing_reports.php?report=website&id=1816,Curves es el centro de fitness más grande del mundo diseñado especialmente para mujeres. Puedes perder peso con solo 30 minutos diarios 3 veces a la semana.,"Zumba
                                    

                                                                                                                                ,
                                                                                                                            TRX
                                    

                                                                                                                                 y
                                                                                                                            Pilates"
13,Equinox Gym Santa Amelia,Guatemala - Guatemala,"Blvd. Hospital Militar 13-27, Zona 16",tel:+(502) 2261-0572,https://directorio.guatemala.com/listing_reports.php?report=website&id=288,"Equinox Gym es más que un gimnasio, es un estilo de vida. Con tres sucursales en las áreas más importantes del país, Equinox espera satisfacer a todos sus clientes con excelentes resultados.",Pesas
14,Alive Gimnasio Boutique,Guatemala - Guatemala,Diagonal 6 12-42 zona 10,tel:+(502) 2206-8000,https://directorio.guatemala.com/listing_reports.php?report=website&id=292,"Brindamos una atmósfera amigable, espacios cómodos, seguros y servicio fantástico para practicar ejercicio inspirador. Sportfit, Alivefit, Yoga y HIIT one on one, son nuestros programas de ejercicio diseñados para motivar hasta aquellos que el ejercicio nunca ha sido su fuerte.

Adicionalmente a las áreas de entrenamiento, contamos un un restaurante de comida ligera y saludable el ""KIWI Lounge"" y vestidores limpios y elegantes que harán que disfrutes cada visita a Alive al máximo.","Pilates
                                    

                                                                                                                                ,
                                                                                                                            TRX
                                    

                                                                                                                                ,
                                                                                                                            Yoga
                                    

                                                                                                                                 y
                                                                                                                            Pesas"
15,Mix Fun Fitness,Guatemala - Guatemala,Km. 14 Carretera a El Salvador,tel:+(502) 6685-2344,,"Con Mix Fun Fitness únete a la fiesta. Ve por lo saludable, diviértete y ponte en forma. Olvida el ejercicio, solo piérdete en la original fiesta de baile fitness.","Pesas
                                    

                                                                                                                                ,
                                                                                                                            Zumba
                                    

                                                                                                                                 y
                                                                                                                            Pilates"
16,180 Grados Fitness,Guatemala - Guatemala,Km. 22.5 Carretera a El Salvador,tel:+(502) 6662-5087,https://directorio.guatemala.com/listing_reports.php?report=website&id=2228,"180 Grados Fitness tiene como objetivo fundamental dirigir un entrenamiento funcional que genere un mejor rendimiento físico, mayor coordinación, agilidad y también un mayor gasto de calorías por minuto. 

El entrenamiento funcional es el nuevo secreto del fitness, se ha convertido en la base de cualquier entrenamiento y tiene como objetivo el entrenamiento del movimiento del cuerpo en todos sus ejes y en sus rangos de movimiento natural.","Crossfit
                                    

                                                                                                                                 y
                                                                                                                            TRX"
17,Cosenza,Guatemala - Guatemala,Km. 18.9 Carretera San José Pinula,tel:+(502) 6634-6823,https://directorio.guatemala.com/listing_reports.php?report=website&id=526,"A una edad muy temprana, Helio Gracie aprendió las técnicas del Jiu-Jitsu Japonés tradicional con su hermano mayor, Carlos. A fines de los años 1920, comenzó a modificar estas técnicas para adaptarlas a su físico débil con el propósito de desarrollar un sistema que le permitiera defenderse de contrincantes de mayor estatura.

Luego de varios años de perfeccionamiento, pudo demostrar la efectividad de su arte al derrotar regularmente a contrincantes más fuertes y más corpulentos, algunos de los cuales pesaban más de 100 libras más que él. Como consecuencia de ello, las técnicas de Helio se convirtieron rápidamente en la nueva expresión del jiu-jitsu en Brasil y abrieron el camino para una revolución mundial en las artes marciales.",Artes Marciales
18,YogAntigua,Guatemala - Guatemala,1ra Avenida Sur #6,tel:+(502) 5251-4809,https://directorio.guatemala.com/listing_reports.php?report=website&id=51884,"YogAntigua es la mejor opción que puedes elegir al momento de hacer ejercicio. Cuentan con equipo especializado, instructores calificados y la mejor disposición para que los visites. Mantén en armonía tu cuerpo y mente con YogAntigua",Yoga
