,names,city,address,phone,categoria
0,Full Contact Studio,Guatemala - Guatemala,2 C 10-06 Z-1,(+502) 2232 6575,Gimnasios de Educación Física
1,Club Atletico Atenas,Guatemala - Guatemala,Diagonal 14. 22-06 Zona 5,(+502) 2335 3680,Gimnasios de Educación Física
2,Le Petit Spa,Guatemala - Guatemala,Dg 6 14-86 Z 10,(+502) 2366 7508,Gimnasios de Educación Física
3,Madiel Spa,Guatemala - Guatemala,Av las Americas 7-30 Z 13 Edif Real América L 3d 3 Nivel,(+502) 2360 5070,Gimnasios de Educación Física
4,Armonia Colonial,Guatemala - Guatemala,Boulevard Principal 23 Calle 18-96 Zona 7 Centro Comercial Paseo,(+502) 5632 6476,Gimnasios de Educación Física
5,Fitness One,Guatemala - Guatemala,Boulevard Los Próceres 25-74 Zona 10,(+502) 2423 6000,Gimnasios de Educación Física
6,Dr. Spa,Amatitlán - Guatemala,Kilómetro 29.5 Centro Comercial Flores del Lago Nivel 3 Local 4 Amatitlán,(+502) 6632 9534,Gimnasios de Educación Física
7,Zona Libre,Huehuetenango - Huehuetenango,2 Avenida A 1-53 zona 3 Huehuetenango,(+502) 4284 9059,Gimnasios de Educación Física
8,Solaz Sauna Y Masaje,Jocotenango - Sacatepequez,Diagonal 1 Número 34 Zona 4 Jocotenango Sacatepequez,(+502) 5588 2533,Gimnasios de Educación Física
9,Massage Spa,Guatemala - Guatemala,3 Calle 8-76 Zona 8 De Mixco Boulevard Principal Edicifio Centro Empresarial,(+502) 2480 7042,Gimnasios de Educación Física
10,Squash Zone,Guatemala - Guatemala,10 Avenida 10-50 Zona 14,(+502) 5580 1015,Gimnasios de Educación Física
11,Sforzo Gym,Guatemala - Guatemala,Calzada Roosevelt 12-25 Zona 11,(+502) 2440 2489,Gimnasios de Educación Física
12,La Farfalla,Guatemala - Guatemala,Boulevard Principal 3 Calle 8-88 Zona 8 Mixco Cd. San Cristobal,(+502) 2322 3100,Gimnasios de Educación Física
13,Nova Spa Estetico,Guatemala - Guatemala,"Boulevar Los Proceres 25-74, zona 10 Guatemala",(+502) 4110 3089,Gimnasios de Educación Física
14,San Silvestre Spa Sauna Y Jacuzzi,Guatemala - Guatemala,1 Av Cl A 4-64 Z 7 Almolonga Quetzaltenango,(+502) 7766 8587,Gimnasios de Educación Física
15,Sporta Guatemala S.A.,Guatemala - Guatemala,KM 18.5 CARRET A EL SALVADOR,(+502) 6625 9100,Gimnasios de Educación Física
16,Vmedical Spa,Guatemala - Guatemala,3 Cl A 8-38 Edif Renova Z 10 3 Nivel,(+502) 3006 3604,Gimnasios de Educación Física
17,Fiore,Guatemala - Guatemala,Av Americas 9-55 Plaza Oro L 10,(+502) 2366 7166,Gimnasios de Educación Física
18,Hostal Los Volcanes,Guatemala - Guatemala,16 Calle 8-00 Zona 13 Aurora 1,(+502) 2360 3232,Gimnasios de Educación Física
19,Prodepsa Gimnasio,Guatemala - Guatemala,10 Av 10-50 Z 14 C.C. Plaza Futeca L 21,(+502) 2366 8054,Gimnasios de Educación Física
20,San Gregorio Hotel Y Spa,Guatemala - Guatemala,Km 30.5 Carrt A Santa Elena Barillas Lt 50 Lotificación San Gregorios Vista al Lago,(+502) 6634 3666,Gimnasios de Educación Física
21,World Gym (San Cristobal),Guatemala - Guatemala,3a Cl 62-72 Sector A 3 Boulevar San Cristobal Z 8 Mixco C.C. Sankrismol,(+502) 2423 6000,Gimnasios de Educación Física
22,Carla S Salón & Day Spa,Guatemala - Guatemala,Av 21 A 0-97 Z 15 Vista Hermosa 2,(+502) 2365 7944,Gimnasios de Educación Física
23,Beauty Clinic Salon Y Day Spa,Guatemala - Guatemala,Av 21 9-05 Z 11 Mirador 1,(+502) 2474 3609,Gimnasios de Educación Física
24,Cy Sport,Guatemala - Guatemala,5 Cl Z 6 V. Nueva Czda Concepcion Plz Villa Nueva,(+502) 6636 6452,Gimnasios de Educación Física
25,Fut Y Pub,Quetzaltenango - Quetzaltenango,C.C. Las Americas Int. Profutbol Xela 8 Calle 0-90 Zona 9,(+502) 7763 5077,Gimnasios de Educación Física
26,Icom Hitech,Guatemala - Guatemala,C.C. Gran Via Local 01 Zona 07,(+502) 2475 2508,Gimnasios de Educación Física
