,id,names,address,area code,phone,web,description,category,city,link,openstreetmap,lat,long,latlong
0,1,180 Grados Fitness,Km. 22.5 Carretera a El Salvador. Portal del Bosque,502.0,66625087,https://www.180gradosfitness.com/,"180 Grados Fitness tiene como objetivo fundamental dirigir un entrenamiento funcional que genere un mejor rendimiento físico, mayor coordinación, agilidad y también un mayor gasto de calorías por minuto. 

El entrenamiento funcional es el nuevo secreto del fitness, se ha convertido en la base de cualquier entrenamiento y tiene como objetivo el entrenamiento del movimiento del cuerpo en todos sus ejes y en sus rangos de movimiento natural.","Crossfit, Funcional, Yoga, Pilates",Guatemala - Guatemala,"https://www.google.com.ar/maps/place/180+grados+Fitness/@14.5014303,-90.4886139,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a50cff69f85f:0x8f386687179f1095!8m2!3d14.5014305!4d-90.4798591","geo:14.49796,-90.48129?z=19",14.49796,-90.48129,"(14.49796, -90.48129)"
1,2,Academia BellyDance Rashida,"Plaza Las Cañas, Local 201, zona 10",502.0,23370980,https://es-la.facebook.com/Rashidaacademy/,"Esta academia de baile es ideal para las personas que desean aprender todo sobre el belly dance. Ubicada en la zona 10, la Academia BellyDance Rashida cuenta con profesionales artísticos que te mostrarán distintas técnicas en clases personalizadas. Además, ofrecen clases de baile latino, tango, hip hop, yoga, company y mucho más.",Baile,Guatemala - Guatemala,"https://www.google.com.ar/maps/place/Academia+Rashida+Bellydance/@14.5813049,-90.5052988,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a348c7507c29:0x1e5cdbef98f518ad!8m2!3d14.5813051!4d-90.496544","geo:14.58151,-90.49617?z=19",14.58151,-90.49617,"(14.58151, -90.49617)"
2,3,Academia Dance Art,"Bulevar Vista Hermosa 25-80, zona 15 Vista Hermosa 2, edificio María del Alma local 9A",502.0,30938434,https://es-la.facebook.com/Danceartguatemala/,"La Academia Dance Art ofrece profesionales expertos en enseñarte la técnica correcta, apasionados en múltiples géneros de baile; amplio trayecto en la salsa y bachata. Lo mejor es que su academia es reconocida gracias a los múltiples premios que han alcanzado en concursos nacionales e internacionales.",Baile,Guatemala - Guatemala,"https://www.google.com.ar/maps/place/edificio+maria+del+alma/@14.5809978,-90.4936543,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3742bcb3aeb:0x78da9ec1cb86ed87!8m2!3d14.580998!4d-90.4848995","geo:14.58096,-90.48487?z=19",14.58096,-90.48487,"(14.58096, -90.48487)"
3,4,Academia de Baile Español Mary Farrington,19 calle 12-34 zona 10,502.0,40445174,https://www.facebook.com/acamaryfarrrington/,Academia de Baile Español Mary Farrington te invita a visitar nuestra pagina en facebook para enterarte de sus actividades.,Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/19+Calle+1234,+Cdad.+de+Guatemala,+Guatemala/@14.5894785,-90.5092288,17.53z/data=!4m5!3m4!1s0x8589a3c06ce4edfd:0xa02f571528be739!8m2!3d14.5898724!4d-90.5076447","geo:14.59010,-90.50806?z=19",14.5901,-90.50806,"(14.5901, -90.50806)"
4,5,Academia de Ballet DanzArte,Avenida Elena 3-31 zona 1,502.0,46626874,http://academia-danzarte.com/,"La Academia de Ballet DanzArte cuenta con tres diferentes sucursales ubicadas en la Ciudad de Guatemala. Sin duda alguna, este es un buen destino para recibir clases de ballet para niñas desde 1.5 años, hasta adultos. Cuentan con clausuras y presentaciones en público, con hermosas coreografías y vestuarios llenos de detalles.",Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/Avenida+Elena+331,+Cdad.+de+Guatemala+01001,+Guatemala/@14.646037,-90.5218574,17.82z/data=!4m5!3m4!1s0x8589a21b535ce475:0xe9dc6639c5585744!8m2!3d14.646465!4d-90.5207303","geo:14.64664,-90.52080?z=17",14.64664,-90.5208,"(14.64664, -90.5208)"
5,6,Academia de Ballet DanzArte,"Centro Comercial San Cristobal, 3 calle 18-72, San Cristobal",502.0,46626874,http://academia-danzarte.com/,"La Academia de Ballet DanzArte cuenta con tres diferentes sucursales ubicadas en la Ciudad de Guatemala. Sin duda alguna, este es un buen destino para recibir clases de ballet para niñas desde 1.5 años, hasta adultos. Cuentan con clausuras y presentaciones en público, con hermosas coreografías y vestuarios llenos de detalles.",Baile,Guatemala - Guatemala,,"geo:14.59496,-90.57926?z=19",14.59496,-90.57926,"(14.59496, -90.57926)"
6,7,Academia de Ballet DanzArte,"Naranjo Shops Local 3, El Naranjo, zona 4, Mixco ",502.0,46626874,http://academia-danzarte.com/,"La Academia de Ballet DanzArte cuenta con tres diferentes sucursales ubicadas en la Ciudad de Guatemala. Sin duda alguna, este es un buen destino para recibir clases de ballet para niñas desde 1.5 años, hasta adultos. Cuentan con clausuras y presentaciones en público, con hermosas coreografías y vestuarios llenos de detalles.",Baile,Guatemala - Guatemala,,"geo:14.65307,-90.54034?z=19",14.65307,-90.54034,"(14.65307, -90.54034)"
7,8,Academia Scenic Dance,3 Avenida 14-19 Zona 14,502.0,52047081,https://www.facebook.com/ScenicDance/,Academia de Baile,Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/Scenic+Dance+Guatemala/@14.581688,-90.5291758,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a39cdd37aaa5:0x7b1b1427d1971cf5!8m2!3d14.5816882!4d-90.520421","geo:14.58189,-90.52029?z=19",14.58189,-90.52029,"(14.58189, -90.52029)"
8,9,Active Mom,13 calle A 7-19 Centro Comercial Tiffany,502.0,23636424,https://www.facebook.com/ActiveMomGT/,"Active mom es un gimnasio para mujeres embarazadas, mamás y mujeres que buscan sentirse motivadas y saludables",Funcional,Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+Comercial+Tiffany,+14+Calle+A,+Cdad.+de+Guatemala,+Guatemala/@14.597526,-90.510677,17.87z/data=!4m5!3m4!1s0x8589a3c64510897b:0x9a9ccef3a3e0f2af!8m2!3d14.5978436!4d-90.5097611","geo:14.59780,-90.50978?z=19",14.5978,-90.50978,"(14.5978, -90.50978)"
9,10,Active Zone,"Centro Comercial Santa Amelia, Bulevar Hospital Militar, Zona 16",502.0,22558054,https://www.instagram.com/p/sDkya0jgl3/,Gimnasio Boutique. ,"Yoga, Pilates, TRX, Baile, Spinning",Guatemala - Guatemala,"https://www.google.com/maps/place/Active+Zone+Guatemala/@14.6254494,-90.4800162,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a2e859c3deff:0xef3f1504a3f360e6!8m2!3d14.6254496!4d-90.4712614","geo:14.62604,-90.47016?z=19",14.62604,-90.47016,"(14.62604, -90.47016)"
