,names,address,phone,web,description,category,city,link,long,lat,principal
0,180 Grados Fitness,Km. 22.5 Carretera a El Salvador,tel:+(502) 6662-5087,https://directorio.guatemala.com/listing_reports.php?report=website&id=2228,"180 Grados Fitness tiene como objetivo fundamental dirigir un entrenamiento funcional que genere un mejor rendimiento físico, mayor coordinación, agilidad y también un mayor gasto de calorías por minuto. 

El entrenamiento funcional es el nuevo secreto del fitness, se ha convertido en la base de cualquier entrenamiento y tiene como objetivo el entrenamiento del movimiento del cuerpo en todos sus ejes y en sus rangos de movimiento natural.","Crossfit, TRX",Guatemala - Guatemala,"https://www.google.com.ar/maps/place/180+grados+Fitness/@14.5014303,-90.4886139,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a50cff69f85f:0x8f386687179f1095!8m2!3d14.5014305!4d-90.4798591",-90.4886139,14.5014303,"{'type': 'Point', 'coordinates': ['-90.4886139', '14.5014303']}"
1,Academia BellyDance Rashida,"Plaza Las Cañas, Local 201, zona 10, Ciudad de Guatemala Ver mapa.",2337-0980,https://es-la.facebook.com/Rashidaacademy/,"Esta academia de baile es ideal para las personas que desean aprender todo sobre el belly dance. Ubicada en la zona 10, la Academia BellyDance Rashida cuenta con profesionales artísticos que te mostrarán distintas técnicas en clases personalizadas. Además, ofrecen clases de baile latino, tango, hip hop, yoga, company y mucho más.",Baile,Guatemala - Guatemala,"https://www.google.com.ar/maps/place/Academia+Rashida+Bellydance/@14.5813049,-90.5052988,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a348c7507c29:0x1e5cdbef98f518ad!8m2!3d14.5813051!4d-90.496544",-90.5052988,14.5813049,"{'type': 'Point', 'coordinates': ['-90.5052988', '14.5813049']}"
2,Academia Dance Art,"Bulevar Vista Hermosa 25-80, zona 15 Vista Hermosa 2, edificio María del Alma local 9A, Ciudad de Guatemala Ver mapa.",3093-8434,https://es-la.facebook.com/Danceartguatemala/,"La Academia Dance Art ofrece profesionales expertos en enseñarte la técnica correcta, apasionados en múltiples géneros de baile; amplio trayecto en la salsa y bachata. Lo mejor es que su academia es reconocida gracias a los múltiples premios que han alcanzado en concursos nacionales e internacionales.",Baile,Guatemala - Guatemala,"https://www.google.com.ar/maps/place/edificio+maria+del+alma/@14.5809978,-90.4936543,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3742bcb3aeb:0x78da9ec1cb86ed87!8m2!3d14.580998!4d-90.4848995",-90.4936543,14.5809978,"{'type': 'Point', 'coordinates': ['-90.4936543', '14.5809978']}"
3,Academia Dance Vision,3 Cl 7-89 Zona 8 Mixco,(+502) 5851 1116,,,ballet,Guatemala - Guatemala,"https://www.google.com.ar/maps/place/3+calle,+Guatemala/@14.6288768,-90.5765311,18.45z/data=!4m5!3m4!1s0x8589a046833cb879:0x102846327c64d37a!8m2!3d14.6290685!4d-90.5757224",-90.5765311,14.6288768,"{'type': 'Point', 'coordinates': ['-90.5765311', '14.6288768']}"
4,Academia de Baile Español Mary Farrington,19 Calle 12-34,#ubicacion,,Academia de Baile Español Mary Farrington te invita a visitar nuestra pagina en facebook para enterarte de sus actividades.,Academias de Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/19+Calle+1234,+Cdad.+de+Guatemala,+Guatemala/@14.5894785,-90.5092288,17.53z/data=!4m5!3m4!1s0x8589a3c06ce4edfd:0xa02f571528be739!8m2!3d14.5898724!4d-90.5076447",-90.5092288,14.5894785,"{'type': 'Point', 'coordinates': ['-90.5092288', '14.5894785']}"
5,Academia de Ballet DanzArte,"Avenida Elena 3-31 zona 1, Ciudad de Guatemala Ver mapa.",4662-6874,https://es-la.facebook.com/Danzarte.ballet/,"La Academia de Ballet DanzArte cuenta con tres diferentes sucursales ubicadas en la Ciudad de Guatemala. Sin duda alguna, este es un buen destino para recibir clases de ballet para niñas desde 1.5 años, hasta adultos. Cuentan con clausuras y presentaciones en público, con hermosas coreografías y vestuarios llenos de detalles.",Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/Avenida+Elena+331,+Cdad.+de+Guatemala+01001,+Guatemala/@14.646037,-90.5218574,17.82z/data=!4m5!3m4!1s0x8589a21b535ce475:0xe9dc6639c5585744!8m2!3d14.646465!4d-90.5207303",-90.5218574,14.646037,"{'type': 'Point', 'coordinates': ['-90.5218574', '14.646037']}"
6,Academia Scenic Dance,3 Avenida 14-19 Zona 14,(+502) 5204 7081,http://www.scenicdance.com,,ballet,Guatemala - Guatemala,"https://www.google.com/maps/place/Scenic+Dance+Guatemala/@14.581688,-90.5291758,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a39cdd37aaa5:0x7b1b1427d1971cf5!8m2!3d14.5816882!4d-90.520421",-90.5291758,14.581688,"{'type': 'Point', 'coordinates': ['-90.5291758', '14.581688']}"
7,Active Mom,13 calle A 7-19 Centro Comercial Tiffany,tel:+(502) 2363-6424,,"Active Mom es un gimnasio diseñado para mujeres embarazadas, mamis que ya tuvieron sus bebés y mujeres que buscan sentirse motivadas y saludables.

Ofrecemos clases personalizadas, en un ambiente privado, diseñadas específicamente para las necesidades de las mujeres. Adaptamos nuestras clases al nivel y estado de cada mujer enfocándonos en su seguridad.",Yoga,Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+Comercial+Tiffany,+14+Calle+A,+Cdad.+de+Guatemala,+Guatemala/@14.597526,-90.510677,17.87z/data=!4m5!3m4!1s0x8589a3c64510897b:0x9a9ccef3a3e0f2af!8m2!3d14.5978436!4d-90.5097611",-90.510677,14.597526,"{'type': 'Point', 'coordinates': ['-90.510677', '14.597526']}"
8,Active Zone,Boulevard Hospital Militar Centro Comercial,tel:+(502) 2255-8054,https://directorio.guatemala.com/listing_reports.php?report=website&id=10050,"Active Zone es el resultado de un proyecto familiar que busca prestar un servicio personalizado e individual. Se inician los ejercicios por muchas razones: salud, bienestar, prescripción médica, peso, para afirmar y tonificar. 

Con un equipo adecuado de instructores certificados y calificados, utilizando las rutinas más modernas y efectivas, un ambiente agradable acogedor y una  supervisión personalizada, acompañados por dos nutricionistas que ven mensualmente a cada alumno, no hay duda que todo eso que esperamos lograr con el ejercicio lo tendremos en ACTIVE ZONE.","Pilates, Pole Dance, TRX",Guatemala - Guatemala,"https://www.google.com/maps/place/Active+Zone+Guatemala/@14.6254494,-90.4800162,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a2e859c3deff:0xef3f1504a3f360e6!8m2!3d14.6254496!4d-90.4712614",-90.4800162,14.6254494,"{'type': 'Point', 'coordinates': ['-90.4800162', '14.6254494']}"
9,Addiction Dance Studio,"Galerías Primma Locales 203 y 204, Ciudad de Guatemala Ver mapa.",5466-3773,https://es-la.facebook.com/adsgt/,¿Con ganas de bailar? Addiction Dance Studio es un espacio ideal para aprender distintos tipos de baile con clases personalizadas. Ofrecen desde clases de jazz hasta bachata y latin dance de parejas. Lo mejor es que te enseñarán desde los pasos más básicos hasta capacitaciones para concursos de baile en pareja y grupales.,Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/Addiction+Dance+Studio+-+Galer%C3%ADas+Primma/@14.6241208,-90.5606934,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a1bad91d0f07:0x684a2c548b08453d!8m2!3d14.624121!4d-90.5519386",-90.5606934,14.6241208,"{'type': 'Point', 'coordinates': ['-90.5606934', '14.6241208']}"
